Timestamp,Event
2026-01-08 21:53:17.385322,SECURE HTTP HEADERS CONFIGURED
2026-01-08 21:53:17.791106,SECURE HTTP HEADERS CONFIGURED
2026-01-08 21:59:12.341237,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-08 22:03:41.678589,SECURE HTTP HEADERS CONFIGURED
2026-01-08 22:03:50.691040,SECURE HTTP HEADERS CONFIGURED
2026-01-08 22:03:51.086256,SECURE HTTP HEADERS CONFIGURED
2026-01-08 22:03:59.920222,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-13 12:37:41.180855,SECURE HTTP HEADERS CONFIGURED
2026-01-13 12:37:41.913327,SECURE HTTP HEADERS CONFIGURED
2026-01-13 12:39:19.151029,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 12:40:09.777573,LOGIN FAILED - user=admin
2026-01-13 12:40:40.922866,LOGIN FAILED - user=admin
2026-01-13 12:40:58.325378,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 13:08:35.905305,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 13:08:36.000769,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 13:11:21.002352,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-13 13:11:59.517937,LOGIN FAILED - user=admin
2026-01-13 13:12:04.272516,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 13:12:46.857790,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:12:59.789932,MESSAGE SENT - user=sahil
2026-01-13 13:13:07.501947,MESSAGE SENT - user=soham
2026-01-13 13:13:15.590617,MESSAGE SENT - user=soham
2026-01-13 13:23:57.464947,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:24:12.135814,LOGIN FAILED - user=admin
2026-01-13 13:24:12.230420,LOGIN FAILED - user=admin
2026-01-13 13:24:15.280650,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:24:15.370491,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:25:14.553969,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:27:31.055120,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:28:01.495702,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:45:47.388924,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:46:19.155561,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:46:28.880718,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:46:32.632970,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:49:09.970711,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:49:29.642839,SECURE HTTP HEADERS CONFIGURED
2026-01-13 13:49:35.274897,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:49:36.639037,UNAUTHORIZED ADMIN PAGE ACCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:49:48.988867,UNAUTHORIZED ADMIN PAGE ACCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:50:05.724661,UNAUTHORIZED ADMIN PAGE ACCESS - user=sahil - ip=127.0.0.1
2026-01-13 13:51:48.762133,LOGOUT - user=sahil - ip=127.0.0.1
2026-01-13 13:52:19.516893,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-13 23:04:07.621798,SECURE HTTP HEADERS CONFIGURED
2026-01-13 23:04:08.361189,SECURE HTTP HEADERS CONFIGURED
2026-01-13 23:06:48.572539,LOGIN SUCCESS - user=Shweta - ip=127.0.0.1
2026-01-13 23:07:02.269408,MESSAGE SENT - user=Shweta
2026-01-13 23:08:04.868793,LOGIN FAILED - user=Kru
2026-01-13 23:08:18.656980,LOGIN SUCCESS - user=Krutika  - ip=127.0.0.1
2026-01-13 23:08:27.478203,MESSAGE SENT - user=Krutika
2026-01-13 23:08:35.950248,MESSAGE SENT - user=Krutika
2026-01-13 23:08:47.197143,MESSAGE SENT - user=Shweta
2026-01-13 23:09:07.582178,UNAUTHORIZED ADMIN PAGE ACCESS - user=Krutika  - ip=127.0.0.1
2026-01-13 23:10:04.302566,MESSAGE SENT - user=Krutika
2026-01-13 23:10:11.630655,MESSAGE SENT - user=Krutika
2026-01-13 23:10:21.286067,MESSAGE SENT - user=Krutika
2026-01-13 23:10:26.213928,MESSAGE SENT - user=Krutika
2026-01-13 23:10:41.942425,MESSAGE SENT - user=Krutika
2026-01-13 23:10:47.373669,MESSAGE SENT - user=Krutika
2026-01-13 23:10:51.021113,LOGOUT - user=Krutika  - ip=127.0.0.1
2026-01-13 23:10:55.228732,LOGOUT - user=unknown - ip=127.0.0.1
2026-01-13 23:10:58.000901,LOGIN FAILED - user=Krutika
2026-01-13 23:11:06.159984,LOGIN FAILED - user=Krutika
2026-01-13 23:11:30.891760,SECURE HTTP HEADERS CONFIGURED
2026-01-13 23:11:31.309507,SECURE HTTP HEADERS CONFIGURED
2026-01-13 23:11:36.129116,LOGIN FAILED - user=Krutika
2026-01-13 23:12:00.592592,LOGIN FAILED - user=Krutika
2026-01-13 23:12:07.008834,LOGIN FAILED - user=Krutika
2026-01-13 23:12:32.182813,LOGIN SUCCESS - user=Shweta - ip=127.0.0.1
2026-01-13 23:12:40.299455,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-13 23:12:46.101862,MESSAGE SENT - user=Shweta
2026-01-13 23:12:52.662252,MESSAGE SENT - user=sahil
2026-01-13 23:13:04.569598,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 23:13:09.710875,MESSAGE SENT - user=soham
2026-01-13 23:13:30.491489,UNAUTHORIZED ADMIN PAGE ACCESS - user=soham - ip=127.0.0.1
2026-01-13 23:13:47.045964,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-13 23:16:35.589224,LOGOUT - user=unknown - ip=127.0.0.1
2026-01-13 23:16:40.923874,LOGOUT - user=unknown - ip=127.0.0.1
2026-01-13 23:31:13.896846,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-13 23:34:20.493271,SECURE HTTP HEADERS CONFIGURED
2026-01-13 23:36:10.173517,SECURE HTTP HEADERS CONFIGURED
2026-01-13 23:42:53.073678,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-14 00:13:19.366968,SECURE HTTP HEADERS CONFIGURED
2026-01-14 00:14:17.840024,SECURE HTTP HEADERS CONFIGURED
2026-01-14 00:15:31.017062,LOGIN SPIKE CRITICAL - failed=35
2026-01-14 00:16:42.580152,SECURE HTTP HEADERS CONFIGURED
2026-01-14 00:16:44.728712,LOGIN SPIKE CRITICAL - failed=35
2026-01-14 00:16:51.992478,LOGIN SPIKE CRITICAL - failed=35
2026-01-14 00:17:38.965725,LOGIN FAILED - user=soham
2026-01-14 00:17:45.096376,LOGIN FAILED - user=asfjksbv
2026-01-14 00:17:45.498714,LOGIN FAILED - user=admin
2026-01-14 00:17:45.768482,LOGIN FAILED - user=admin
2026-01-14 00:17:51.997630,LOGIN FAILED - user=sdvkjkbv
2026-01-14 00:17:52.293039,LOGIN FAILED - user=admin
2026-01-14 00:17:55.573692,LOGIN SPIKE CRITICAL - failed=41
2026-01-14 00:17:56.543944,LOGIN SPIKE CRITICAL - failed=41
2026-01-14 00:18:04.111422,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-14 00:18:27.353138,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-14 00:18:32.892903,MESSAGE SENT - user=sahil
2026-01-14 00:18:36.363751,UNAUTHORIZED ADMIN ACCESS - ip=127.0.0.1
2026-01-14 00:18:43.016421,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-14 00:18:43.024528,LOGIN SPIKE CRITICAL - failed=41
2026-01-14 00:39:23.771272,LOGIN SPIKE CRITICAL - failed=41
2026-01-14 01:19:34.632434,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:24:07.758678,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:24:08.186366,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:29:00.479458,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:36:54.437781,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:37:12.190639,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:37:50.103998,LOGIN SPIKE CRITICAL - failed=41
2026-01-14 01:42:16.800712,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:42:18.918065,LOGIN SPIKE CRITICAL - failed=41
2026-01-14 01:44:28.123456,SECURE HTTP HEADERS CONFIGURED
2026-01-14 01:44:32.909121,LOGOUT - user=unknown - ip=127.0.0.1
2026-01-14 01:44:43.457090,LOGIN FAILED - user=svldvkjbb
2026-01-14 01:44:48.833684,LOGIN FAILED - user=dbvndjb
2026-01-14 01:44:53.633702,LOGIN FAILED - user=slkbnkjbd b
2026-01-14 01:44:58.632108,LOGIN FAILED - user=wjsfvbiujb
2026-01-14 01:45:04.262819,LOGIN FAILED - user=sdjvbv
2026-01-14 01:45:09.449586,LOGIN FAILED - user=plwameflkbvb
2026-01-14 01:45:14.099238,LOGIN FAILED - user=ervbkj kjb
2026-01-14 01:45:18.715146,LOGIN FAILED - user=rvbjavb
2026-01-14 01:45:25.090922,LOGIN FAILED - user=b abj g
2026-01-14 01:45:25.106944,LOGIN FAILED - user=b abj g
2026-01-14 01:45:28.115221,UNAUTHORIZED ADMIN ACCESS - ip=127.0.0.1
2026-01-14 01:45:31.655221,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-14 01:45:31.669544,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 01:45:44.441999,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 01:46:06.944159,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 01:46:14.475292,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-14 01:46:17.236672,LOGOUT - user=sahil - ip=127.0.0.1
2026-01-14 01:46:20.366965,LOGIN SUCCESS - user=soham - ip=127.0.0.1
